value,classification,date,time
30,2,01-02-2018,2018-02-01 05:30:00
15,0,02-02-2018,2018-02-02 05:30:00
40,2,03-02-2018,2018-02-03 05:30:00
24,0,04-02-2018,2018-02-04 05:30:00
11,0,05-02-2018,2018-02-05 05:30:00
8,0,06-02-2018,2018-02-06 05:30:00
36,2,07-02-2018,2018-02-07 05:30:00
30,2,08-02-2018,2018-02-08 05:30:00
44,2,09-02-2018,2018-02-09 05:30:00
54,4,10-02-2018,2018-02-10 05:30:00
31,2,11-02-2018,2018-02-11 05:30:00
42,2,12-02-2018,2018-02-12 05:30:00
35,2,13-02-2018,2018-02-13 05:30:00
55,3,14-02-2018,2018-02-14 05:30:00
71,3,15-02-2018,2018-02-15 05:30:00
67,3,16-02-2018,2018-02-16 05:30:00
74,3,17-02-2018,2018-02-17 05:30:00
63,3,18-02-2018,2018-02-18 05:30:00
67,3,19-02-2018,2018-02-19 05:30:00
74,3,20-02-2018,2018-02-20 05:30:00
54,4,21-02-2018,2018-02-21 05:30:00
44,2,22-02-2018,2018-02-22 05:30:00
39,2,23-02-2018,2018-02-23 05:30:00
31,2,24-02-2018,2018-02-24 05:30:00
33,2,25-02-2018,2018-02-25 05:30:00
37,2,26-02-2018,2018-02-26 05:30:00
44,2,27-02-2018,2018-02-27 05:30:00
41,2,28-02-2018,2018-02-28 05:30:00
38,2,01-03-2018,2018-03-01 05:30:00
47,4,02-03-2018,2018-03-02 05:30:00
56,3,03-03-2018,2018-03-03 05:30:00
44,2,04-03-2018,2018-03-04 05:30:00
55,3,05-03-2018,2018-03-05 05:30:00
59,3,06-03-2018,2018-03-06 05:30:00
37,2,07-03-2018,2018-03-07 05:30:00
39,2,08-03-2018,2018-03-08 05:30:00
37,2,09-03-2018,2018-03-09 05:30:00
39,2,10-03-2018,2018-03-10 05:30:00
40,2,11-03-2018,2018-03-11 05:30:00
41,2,12-03-2018,2018-03-12 05:30:00
41,2,13-03-2018,2018-03-13 05:30:00
40,2,14-03-2018,2018-03-14 05:30:00
32,2,15-03-2018,2018-03-15 05:30:00
33,2,16-03-2018,2018-03-16 05:30:00
31,2,17-03-2018,2018-03-17 05:30:00
29,2,18-03-2018,2018-03-18 05:30:00
29,2,19-03-2018,2018-03-19 05:30:00
37,2,20-03-2018,2018-03-20 05:30:00
36,2,21-03-2018,2018-03-21 05:30:00
36,2,22-03-2018,2018-03-22 05:30:00
28,2,23-03-2018,2018-03-23 05:30:00
32,2,24-03-2018,2018-03-24 05:30:00
30,2,25-03-2018,2018-03-25 05:30:00
31,2,26-03-2018,2018-03-26 05:30:00
24,0,27-03-2018,2018-03-27 05:30:00
24,0,28-03-2018,2018-03-28 05:30:00
18,0,29-03-2018,2018-03-29 05:30:00
12,0,30-03-2018,2018-03-30 05:30:00
16,0,31-03-2018,2018-03-31 05:30:00
16,0,01-04-2018,2018-04-01 05:30:00
11,0,02-04-2018,2018-04-02 05:30:00
22,0,03-04-2018,2018-04-03 05:30:00
22,0,04-04-2018,2018-04-04 05:30:00
17,0,05-04-2018,2018-04-05 05:30:00
19,0,06-04-2018,2018-04-06 05:30:00
20,0,07-04-2018,2018-04-07 05:30:00
17,0,08-04-2018,2018-04-08 05:30:00
21,0,09-04-2018,2018-04-09 05:30:00
18,0,10-04-2018,2018-04-10 05:30:00
20,0,11-04-2018,2018-04-11 05:30:00
18,0,12-04-2018,2018-04-12 05:30:00
23,0,13-04-2018,2018-04-13 05:30:00
26,2,17-04-2018,2018-04-17 05:30:00
24,0,18-04-2018,2018-04-18 05:30:00
25,2,19-04-2018,2018-04-19 05:30:00
26,2,20-04-2018,2018-04-20 05:30:00
32,2,21-04-2018,2018-04-21 05:30:00
31,2,22-04-2018,2018-04-22 05:30:00
28,2,23-04-2018,2018-04-23 05:30:00
29,2,24-04-2018,2018-04-24 05:30:00
64,3,25-04-2018,2018-04-25 05:30:00
47,4,26-04-2018,2018-04-26 05:30:00
55,3,27-04-2018,2018-04-27 05:30:00
54,4,28-04-2018,2018-04-28 05:30:00
61,3,29-04-2018,2018-04-29 05:30:00
59,3,30-04-2018,2018-04-30 05:30:00
56,3,01-05-2018,2018-05-01 05:30:00
52,4,02-05-2018,2018-05-02 05:30:00
55,3,03-05-2018,2018-05-03 05:30:00
56,3,04-05-2018,2018-05-04 05:30:00
63,3,05-05-2018,2018-05-05 05:30:00
67,3,06-05-2018,2018-05-06 05:30:00
56,3,07-05-2018,2018-05-07 05:30:00
62,3,08-05-2018,2018-05-08 05:30:00
53,4,09-05-2018,2018-05-09 05:30:00
63,3,10-05-2018,2018-05-10 05:30:00
41,2,11-05-2018,2018-05-11 05:30:00
44,2,12-05-2018,2018-05-12 05:30:00
40,2,13-05-2018,2018-05-13 05:30:00
40,2,14-05-2018,2018-05-14 05:30:00
40,2,15-05-2018,2018-05-15 05:30:00
32,2,16-05-2018,2018-05-16 05:30:00
31,2,17-05-2018,2018-05-17 05:30:00
37,2,18-05-2018,2018-05-18 05:30:00
31,2,19-05-2018,2018-05-19 05:30:00
32,2,20-05-2018,2018-05-20 05:30:00
41,2,21-05-2018,2018-05-21 05:30:00
30,2,22-05-2018,2018-05-22 05:30:00
26,2,23-05-2018,2018-05-23 05:30:00
27,2,24-05-2018,2018-05-24 05:30:00
25,2,25-05-2018,2018-05-25 05:30:00
23,0,26-05-2018,2018-05-26 05:30:00
19,0,27-05-2018,2018-05-27 05:30:00
22,0,28-05-2018,2018-05-28 05:30:00
16,0,29-05-2018,2018-05-29 05:30:00
38,2,30-05-2018,2018-05-30 05:30:00
25,2,31-05-2018,2018-05-31 05:30:00
24,0,01-06-2018,2018-06-01 05:30:00
27,2,02-06-2018,2018-06-02 05:30:00
40,2,03-06-2018,2018-06-03 05:30:00
41,2,04-06-2018,2018-06-04 05:30:00
26,2,05-06-2018,2018-06-05 05:30:00
42,2,06-06-2018,2018-06-06 05:30:00
38,2,07-06-2018,2018-06-07 05:30:00
40,2,08-06-2018,2018-06-08 05:30:00
39,2,09-06-2018,2018-06-09 05:30:00
24,0,10-06-2018,2018-06-10 05:30:00
15,0,11-06-2018,2018-06-11 05:30:00
19,0,12-06-2018,2018-06-12 05:30:00
19,0,13-06-2018,2018-06-13 05:30:00
17,0,14-06-2018,2018-06-14 05:30:00
26,2,15-06-2018,2018-06-15 05:30:00
22,0,16-06-2018,2018-06-16 05:30:00
23,0,17-06-2018,2018-06-17 05:30:00
27,2,18-06-2018,2018-06-18 05:30:00
32,2,19-06-2018,2018-06-19 05:30:00
34,2,20-06-2018,2018-06-20 05:30:00
37,2,21-06-2018,2018-06-21 05:30:00
28,2,22-06-2018,2018-06-22 05:30:00
17,0,23-06-2018,2018-06-23 05:30:00
15,0,24-06-2018,2018-06-24 05:30:00
16,0,25-06-2018,2018-06-25 05:30:00
21,0,26-06-2018,2018-06-26 05:30:00
18,0,27-06-2018,2018-06-27 05:30:00
20,0,28-06-2018,2018-06-28 05:30:00
16,0,29-06-2018,2018-06-29 05:30:00
22,0,30-06-2018,2018-06-30 05:30:00
